"standard_id","title","version","formal_status","issuing_body","canonical_url","publication_date","normative_or_informative_scope","conformance_mechanism","machine_readable_artifacts","maintenance_status","limitations","admission_disposition"
"STD-DCAT-3","Data Catalog Vocabulary (DCAT) Version 3","3","INTERNATIONAL_STANDARD — W3C Recommendation","W3C","https://www.w3.org/TR/2024/REC-vocab-dcat-3-20240822/","2024-08-22","Normative RDF vocabulary and conformance requirements; Section 14 quality guidance is expressly non-normative","Section 4 conformance requirements plus RDF vocabulary semantics; no official closed-world DCAT SHACL profile","namespace:http://www.w3.org/ns/dcat#; vocabulary:https://www.w3.org/ns/dcat.ttl","Current W3C Recommendation; supersedes but does not obsolete DCAT 2 and is designed for backward compatibility","Discovery and catalogue vocabulary with few cardinalities; does not model atomic legal duties or establish metadata truth legal compliance data fitness or quality sufficiency","ADMITTED"
"STD-DCATAP-3.0.1","DCAT Application Profile for data portals in Europe","3.0.1","EU_RECOMMENDATION — SEMIC Recommendation","SEMIC / Interoperable Europe / European Commission","https://semiceu.github.io/DCAT-AP/releases/3.0.1/","2025-10-27","Normative application-profile conformance cardinalities controlled-vocabulary requirements and reuse notes; JSON-LD context is non-normative","Release-matched SHACL shapes range shapes controlled-vocabulary shapes and ITB validator; provider and receiver conformance statements also apply","namespace:http://data.europa.eu/r5r/; bundle:https://semiceu.github.io/DCAT-AP/releases/3.0.1/shacl/dcat-ap-SHACL.ttl; shapes:https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes.ttl; range:https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/range.ttl; vocabularies:https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/mdr-vocabularies.shape.ttl; recommended:https://semiceu.github.io/DCAT-AP/releases/3.0.1/html/shacl/shapes_recommended.ttl; context:https://semiceu.github.io/DCAT-AP/releases/3.0.1/context/dcat-ap.jsonld","Current SEMIC Recommendation at the 2026-07-17 check; 3.0.2 exists only as draft","Profile conformance is context-dependent and does not prove accuracy authority lawfulness fitness or compliance; no native fields for all Data Act uncertainty/API-QoS or AI Act data-governance facts","ADMITTED"
"STD-HEALTHDCATAP-7","HealthDCAT-AP","Release 7","EU_DRAFT — European Commission Draft Specification","European Commission","https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/","2026-05","Draft health-sector DCAT-AP profile including conformance rules cardinalities controlled vocabularies and access-tier variants","Separate mandatory and recommended SHACL suites for PUBLIC RESTRICTED and NON_PUBLIC access plus range and controlled-vocabulary shapes","namespace:http://healthdataportal.eu/ns/health#; public:https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/public-shapes.ttl; restricted:https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/restricted-shapes.ttl; non-public:https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/non-public-shapes.ttl; range:https://healthdataeu.pages.code.europa.eu/healthdcat-ap/releases/release-7/html/shacl/range.ttl","Current draft profile at the 2026-07-17 check; Release 6 deprecated","Draft status and month-only publication date; some examples expose non-canonical w3id links while prefix table and SHACL use http://healthdataportal.eu/ns/health#; quality annotation does not define Article 78 metrics and profile conformance is not EHDS compliance","ADMITTED"
"STD-PROVO-2013","PROV-O: The PROV Ontology","2013 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","W3C","https://www.w3.org/TR/2013/REC-prov-o-20130430/","2013-04-30","Normative OWL2 ontology mapping the PROV data model to RDF classes properties and qualified relations","OWL vocabulary semantics and W3C implementation evidence; no official closed-world SHACL profile","namespace:http://www.w3.org/ns/prov#; ontology:https://www.w3.org/ns/prov-o.ttl","Stable W3C Recommendation","Generic provenance does not prove that an event occurred that a stated agent was responsible or that a lineage record is complete; OWL reasoning does not impose operational evidence cardinalities","ADMITTED"
"STD-DQV-2016","Data on the Web Best Practices: Data Quality Vocabulary","2016 Note","COMMUNITY_SPEC — W3C Working Group Note","W3C Data on the Web Best Practices Working Group","https://www.w3.org/TR/2016/NOTE-vocab-dqv-20161215/","2016-12-15","Vocabulary definitions and examples in a W3C Working Group Note; Section 7 dimension examples are non-normative and the document is not a W3C Recommendation","RDF vocabulary only; no official DQV SHACL cardinality profile","namespace:http://www.w3.org/ns/dqv#; vocabulary:https://www.w3.org/ns/dqv.ttl","Stable Working Group Note; no verified successor Recommendation","Provides a measurement scaffold but no legally sufficient definition of quality no normative dimension or metric catalogue and no cardinalities; domain metrics methods units provenance and acceptance thresholds must be separately defined","ADMITTED"
"STD-ODRL-2.2","Open Digital Rights Language (ODRL) Version 2.2","2.2","INTERNATIONAL_STANDARD — W3C Recommendation","W3C","https://www.w3.org/TR/2018/REC-odrl-model-20180215/","2018-02-15","Normative information model and common vocabulary for policies permissions prohibitions duties parties assets actions and constraints","Model conformance and processor semantics; normative JSON-LD context; no official general-purpose SHACL conformance profile","namespace:http://www.w3.org/ns/odrl/2/; vocabulary:https://www.w3.org/TR/2018/REC-odrl-vocab-20180215/; context:http://www.w3.org/ns/odrl.jsonld","Stable W3C Recommendations","Expresses a supplied policy rather than governing-law authority validity monitoring or enforcement; domain semantics require a declared ODRL Profile and unrecognised terms may not be interoperable","ADMITTED"
"STD-SHACL-2017","Shapes Constraint Language (SHACL)","2017 Recommendation","INTERNATIONAL_STANDARD — W3C Recommendation","W3C","https://www.w3.org/TR/2017/REC-shacl-20170720/","2017-07-20","Normative SHACL Core validation language and optional SHACL-SPARQL extension with standard validation-report vocabulary","Conforming SHACL processor produces sh:ValidationReport against an explicit data graph shapes graph and entailment regime; W3C test suite available","namespace:http://www.w3.org/ns/shacl#; vocabulary:https://www.w3.org/ns/shacl.ttl; tests:https://w3c.github.io/data-shapes/data-shapes-test-suite/","Stable Recommendation used by this project; SHACL 1.2 Core dated 2026-06-02 remains a Working Draft and is not substituted","Conformance is only to selected shapes data graph entailment and processor; severity does not change conformance semantics; recursive shapes are undefined and SPARQL constraints may reduce portability; no legal truth or compliance inference follows","ADMITTED"
"STD-MLDCATAP-3.1.0","Machine Learning DCAT Application Profile","3.1.0","EU_DRAFT — SEMIC Candidate Recommendation","SEMIC / Interoperable Europe / European Commission","https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/","2026-05-13","Candidate application-profile classes properties cardinalities and references for ML models datasets distributions quality measures and related resources; JSON-LD context is non-normative","Release-matched SHACL plus ITB base and role-specific overlay modes","namespace:http://data.europa.eu/it6/; shapes:https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/shacl/mldcat-ap-SHACL.ttl; context:https://semiceu.github.io/MLDCAT-AP/releases/3.1.0/context/mldcat-ap.jsonld","Current Candidate Recommendation at the 2026-07-17 check; monitor transition or replacement before final thesis claims","Not an AI Act conformity standard; many legally material Article 10 concepts are optional free-text properties or absent; mandatory quality-measurement linkage does not define metrics methods thresholds representativeness safeguards or substantive sufficiency","ADMITTED"
"STD-CROISSANT-1.1","Croissant Format Specification","1.1","COMMUNITY_SPEC — MLCommons specification","MLCommons Association / Croissant Working Group","https://docs.mlcommons.org/croissant/docs/croissant-spec-1.1.html","2026-01-29","Community specification for JSON-LD dataset metadata resources record sets fields sources transformations splits labels provenance and usage conditions","Dataset-level dct:conformsTo to the version IRI plus reference implementation/verifier; recommended JSON-LD context is embedded in Appendix 1","namespace:http://mlcommons.org/croissant/; conformance-iri:http://mlcommons.org/croissant/1.1; media-type:application/ld+json; profile=http://mlcommons.org/croissant/1.1","Actively maintained community specification","Structural and loading metadata do not prove provenance ownership licence authority quality representativeness or legal compliance; external-vocabulary semantics remain consumer interpreted and the located MLDCAT mapping repository does not cover 3.1.0","ADMITTED"
"STD-CROISSANTRAI-1.0","Croissant Responsible AI Specification","1.0","COMMUNITY_SPEC — MLCommons specification","MLCommons Association / Croissant Working Group","https://docs.mlcommons.org/croissant/docs/croissant-rai-spec.html","2024-03-06","Community vocabulary extension documenting dataset lifecycle annotation safety fairness limitations and selected compliance-oriented information","Dataset-level dct:conformsTo to the RAI version IRI; no independent normative SHACL suite identified","namespace:http://mlcommons.org/croissant/RAI/; conformance-iri:http://mlcommons.org/croissant/RAI/1.0","Published extension retained as the verified RAI release at the check date","Properties are predominantly narrative text with recommended values rather than legal metrics or safeguards; does not establish Article 10 compliance bias mitigation representativeness completeness accuracy or special-category-data necessity","ADMITTED"
"STD-ELI-1.3","ELI Metadata Ontology","1.3","EU_RECOMMENDATION — Publications Office ontology release","ELI Task Force / Publications Office of the European Union","http://publications.europa.eu/resource/dataset/eli/20200717-0","2020-07-17","Current core OWL ontology release for legislation works expressions formats subdivisions identifiers dates classifications and relationships","OWL ontology semantics; no release-matched SHACL suite relied upon in this project","namespace:http://data.europa.eu/eli/ontology#; ontology:http://publications.europa.eu/resource/distribution/eli/20200717-0/owl/owl/eli.owl; release-history:https://interoperable-europe.ec.europa.eu/collection/eli-european-legislation-identifier/solution/eli-ontology/releases","Latest core ELI ontology release identified by the official release history at the 2026-07-18 correction check; do not infer a core 1.5 release from the separately versioned ELI-EP profile","Legal-resource identification and bibliographic structure only; does not represent a complete atomic norm its modality applicability exceptions evidence or compliance conclusion; keep core ELI 1.3 distinct from ELI-EP 1.5","ADMITTED"
"STD-ELIEP-1.5","ELI-EP Application Profile","1.5","EU_RECOMMENDATION — European Parliament application profile","European Parliament","https://europarl.github.io/eli-ep/1.5/","2022-11-24","REGISTRY_ONLY_DEFERRED_FOR_CURRENT_CALIBRATION — Institution-specific SHACL application profile for European Parliament documents activities processes and related entities using ELI ELI-DL and EPVOC","Published SHACL serialization defines profile cardinalities and constraints","namespaces:http://data.europa.eu/eli/ontology#|http://data.europa.eu/eli/eli-draft-legislation-ontology#|https://data.europarl.europa.eu/def/epvoc#; shapes:https://europarl.github.io/eli-ep/eli-ep.shacl.ttl","REGISTRY_ONLY_DEFERRED_FOR_CURRENT_CALIBRATION — Version 1.5 created 2022-11-24 and last updated 2023-12-05; separately maintained from core ELI 1.3; admit elements only when an EP-specific capability enters scope","Deferred from current element mapping because no EP-specific calibration capability is active; European Parliament-specific document and procedure constraints cannot be attributed to the core ELI ontology or generalised to all EU legislation; the profile version 1.5 is not a core ELI ontology version","DEFERRED"
